source_year,source_file,30KT短径,30KT長径,30KT長径方向,50KT短径,50KT長径,50KT長径方向,上陸,中心気圧,台風名,台風番号,年,日,時（UTC）,最大風速,月,経度,緯度,階級
2016,table2016.csv,0,0,0,0,0,0,0,1006,NEPARTAK,1601,2016,2,12,0,7,145.1,8.3,2
2016,table2016.csv,0,0,0,0,0,0,0,1004,NEPARTAK,1601,2016,2,18,0,7,145.0,8.6,2
2016,table2016.csv,120,180,4,0,0,0,0,1002,NEPARTAK,1601,2016,3,0,35,7,144.9,8.9,3
2016,table2016.csv,120,180,4,0,0,0,0,1002,NEPARTAK,1601,2016,3,6,35,7,144.8,9.2,3
2016,table2016.csv,120,180,4,0,0,0,0,1000,NEPARTAK,1601,2016,3,12,35,7,144.4,10.0,3
2016,table2016.csv,150,150,9,0,0,0,0,996,NEPARTAK,1601,2016,3,18,40,7,143.9,10.9,3
2016,table2016.csv,150,150,9,0,0,0,0,996,NEPARTAK,1601,2016,4,0,40,7,142.6,11.9,3
2016,table2016.csv,150,180,1,0,0,0,0,994,NEPARTAK,1601,2016,4,6,45,7,141.1,12.8,3
2016,table2016.csv,150,180,1,0,0,0,0,990,NEPARTAK,1601,2016,4,12,50,7,139.6,13.5,4
2016,table2016.csv,150,180,1,40,40,9,0,980,NEPARTAK,1601,2016,4,18,60,7,138.2,14.5,4
2016,table2016.csv,150,180,1,40,40,9,0,965,NEPARTAK,1601,2016,5,0,65,7,136.6,15.3,5
2016,table2016.csv,150,180,1,40,40,9,0,955,NEPARTAK,1601,2016,5,6,75,7,135.1,16.3,5
2016,table2016.csv,150,180,1,50,50,9,0,940,NEPARTAK,1601,2016,5,12,85,7,133.5,17.1,5
2016,table2016.csv,150,240,1,50,50,9,0,925,NEPARTAK,1601,2016,5,18,95,7,131.9,18.0,5
2016,table2016.csv,150,240,1,60,60,9,0,915,NEPARTAK,1601,2016,6,0,100,7,130.1,18.7,5
2016,table2016.csv,150,240,1,60,60,9,0,900,NEPARTAK,1601,2016,6,6,110,7,128.4,19.5,5
2016,table2016.csv,210,210,9,60,60,9,0,900,NEPARTAK,1601,2016,6,12,110,7,127.0,20.1,5
2016,table2016.csv,210,210,9,60,60,9,0,900,NEPARTAK,1601,2016,6,18,110,7,125.6,20.7,5
2016,table2016.csv,210,210,9,60,60,9,0,900,NEPARTAK,1601,2016,7,0,110,7,124.3,21.3,5
2016,table2016.csv,210,210,9,60,60,9,0,900,NEPARTAK,1601,2016,7,6,110,7,123.4,21.6,5
2016,table2016.csv,210,210,9,50,50,9,0,900,NEPARTAK,1601,2016,7,12,110,7,122.6,22.0,5
2016,table2016.csv,210,210,9,50,50,9,0,920,NEPARTAK,1601,2016,7,18,90,7,121.7,22.4,5
2016,table2016.csv,180,210,1,40,40,9,0,950,NEPARTAK,1601,2016,8,0,75,7,120.6,22.6,5
2016,table2016.csv,180,210,1,40,40,9,0,975,NEPARTAK,1601,2016,8,6,65,7,120.1,23.2,5
2016,table2016.csv,150,180,1,0,0,0,0,985,NEPARTAK,1601,2016,8,12,50,7,119.9,23.2,4
2016,table2016.csv,150,180,1,0,0,0,0,985,NEPARTAK,1601,2016,8,18,45,7,119.8,23.4,3
2016,table2016.csv,150,180,1,0,0,0,0,992,NEPARTAK,1601,2016,9,0,35,7,118.8,24.3,3
2016,table2016.csv,0,0,0,0,0,0,0,994,NEPARTAK,1601,2016,9,6,0,7,118.5,24.8,2
2016,table2016.csv,0,0,0,0,0,0,0,996,NEPARTAK,1601,2016,9,12,0,7,117.9,25.4,2
2016,table2016.csv,0,0,0,0,0,0,0,996,NEPARTAK,1601,2016,9,18,0,7,117.2,25.9,2
2016,table2016.csv,0,0,0,0,0,0,0,998,NEPARTAK,1601,2016,10,0,0,7,116.7,26.4,2
2016,table2016.csv,0,0,0,0,0,0,0,1004,LUPIT,1602,2016,22,18,0,7,151.5,24.6,2
2016,table2016.csv,0,0,0,0,0,0,0,1004,LUPIT,1602,2016,23,0,0,7,152.3,25.3,2
2016,table2016.csv,0,0,0,0,0,0,0,1004,LUPIT,1602,2016,23,6,0,7,154.0,26.4,2
2016,table2016.csv,0,0,0,0,0,0,0,1004,LUPIT,1602,2016,23,12,0,7,155.3,27.4,2
2016,table2016.csv,50,100,3,0,0,0,0,1000,LUPIT,1602,2016,23,18,35,7,157.1,28.9,3
2016,table2016.csv,80,100,3,0,0,0,0,1000,LUPIT,1602,2016,24,0,40,7,158.5,31.0,3
2016,table2016.csv,80,100,2,0,0,0,0,1000,LUPIT,1602,2016,24,6,40,7,159.3,33.0,3
2016,table2016.csv,80,100,2,0,0,0,0,1000,LUPIT,1602,2016,24,12,40,7,159.5,35.0,3
2016,table2016.csv,0,0,0,0,0,0,0,1000,LUPIT,1602,2016,24,18,0,7,159.5,37.2,6
2016,table2016.csv,0,0,0,0,0,0,0,1004,LUPIT,1602,2016,25,0,0,7,159.3,40.3,6
2016,table2016.csv,0,0,0,0,0,0,0,1008,LUPIT,1602,2016,25,6,0,7,157.4,44.1,6
2016,table2016.csv,0,0,0,0,0,0,0,1010,LUPIT,1602,2016,25,12,0,7,156.5,45.6,6
2016,table2016.csv,0,0,0,0,0,0,0,1012,LUPIT,1602,2016,25,18,0,7,155.5,47.0,6
2016,table2016.csv,0,0,0,0,0,0,0,1014,LUPIT,1602,2016,26,0,0,7,153.7,47.5,6
2016,table2016.csv,0,0,0,0,0,0,0,1014,LUPIT,1602,2016,26,6,0,7,152.1,48.4,6
2016,table2016.csv,0,0,0,0,0,0,0,1006,MIRINAE,1603,2016,25,12,0,7,114.7,17.2,2
2016,table2016.csv,0,0,0,0,0,0,0,1004,MIRINAE,1603,2016,25,18,0,7,113.9,17.3,2
2016,table2016.csv,0,0,0,0,0,0,0,1002,MIRINAE,1603,2016,26,0,0,7,113.0,18.1,2
